price,title,location,bhk,bathroom,area
20000,2bhk 4 marla small house full furnished rent-20k,"Sector 80, Mohali",2,2,1000
25000,2bhk sector 89 1st floor furnished for family/boys,"Sector 89, Mohali",2,2,1600
5000,Independent room in balongi,"Balongi, Mohali",1,1,140
45000,3 BHK semi furnished flat For rent in sector 85,"Sector 85, Mohali",3,3,2250
35000,2BHK FULLY FURNISHED,"Sector 68, Mohali",2,2,3000
12000,Furnished flat with all facilities for rent,"Landran, Mohali",1,1,900
30000,2bhk 2nd floor sector -77 rent-30k,"Sector 77, Mohali",2,2,1800
17000,2bhk 2 AC with inverter &1bhk flat fully independent fully furnished,"Bar Majra, Mohali",2,2,800
17000,2BHK 2AC Inverter & 1BHK furnished available with kitchen and bathroom,"Bar Majra, Mohali",2,2,750
42500,TO-LET  3 BHK FLOOR  PHASE - 7,"Sector 61, Mohali",3,3,3600
26000,2 bhk for rent fully furnishe for boys sector 78 mohali Royal property,"Sector 78, Mohali",2,2,1050
50000,"Wave state Owner free
3bhk fully furnished 
Rent 50k
Everyone workin","Sector 99, Mohali",3,3,1050
19000,"1BHK fULLY FURNISHED 
FLOOR 2
PHASE 3B1
Only girls Royal property","Sector 60 Phase 3B2, Mohali",1,1,1050
9000,Neea a female flatmate,"Sector 67, Mohali",3,2,300
8000,Only for girls working student,"Sector 55, Chandigarh",3,2,1800
22000,2bhk independent for girls/boys only,"Sector 79, Mohali",2,2,1800
28000,"Sector 69 1st floor with owner 
Working husband wife only family 
2rk","Sector 69, Mohali",2,1,1050
40000,3BHK for family.,"Sector 80, Mohali",3,3,2200
35000,"Independent 2BHK available in chandigarh, mohali","Sector 50, Chandigarh",2,2,1600
7000,Independent room boy and girls,"Sector 70, Mohali",1,1,200
26000,"Sector 71
2bhk semi furnished 
Ist floor 
Rent 26k
For family","Sector 71, Mohali",2,2,1050
30000,3bhk in sector 78 only for family modular,"Sector 78, Mohali",3,2,2200
22000,2ohk flat avaialable for boys or girls or family also.,"Sector 79, Mohali",2,2,675
55000,3bhk indipent villa Semi furnished 55k Sector 98 Royal property,"Sector 98, Mohali",3,2,1050
17000,1 bhk fully furnished flat available  mohali sector 117Royal property,"Sector 117, Mohali",1,1,1050
32000,Flat For Rent Premium A-Category 3 BHK,"Sector 50, Chandigarh",3,3,1500
29999,3BHK FULLY FURNISHED & SEMI FURNISHED FLATS AVAILABLE FOR RENT,"Sector 116, Mohali",3,3,1
90000,6 bhk kothi for rent Semi furnished90k sector 98 Royal property,"Sector 98, Mohali",4,4,1050
22500,2 BHK AVAILABLE FOR RENT,"Sector 78, Mohali",2,2,1542
38000,"Independent House for Rent – Swaraj Enclave, Near Gilco International","Sante Majra, Kharar",2,4,1750
25000,2bhk semi furnished rent 25k 1st floor for family Royal property,"Sector 79, Mohali",2,2,1050
80000,"Owner Free 3bhk Ground Floor Sector 80, Mohali","Sector 80, Mohali",3,3,4500
