Feature,Importance
"location_Mohan Nagar, Dera Bassi",0.00015475100889499293
"location_Khuda Jassu, Chandigarh",0.00015300154421608192
"location_Sector 28D, Chandigarh",0.00015294438287592922
"location_Ward No 13, Banur",0.0001524329781512467
"location_Sector 36A, Chandigarh",0.00014700592073698787
"location_Sector 15C, Chandigarh",0.00014632541071895943
"location_Civil Lines, Patiala",0.00014489946170200544
"location_Mandi Kharar, Kharar",0.00014434791189260507
"location_Kailon Village, Mohali",0.00014399450621378908
"location_Sukhgarh Village, Mohali",0.00014391815537407855
"location_Tripuri, Patiala",0.00014352933414766642
"location_Gharuan, Kharar",0.00013631110839047231
"location_Sector 27A, Chandigarh",0.0001342824877346615
"location_Hirabagh, Patiala",0.0001334927661473615
"location_Industrial Area Phase 8B, Mohali",0.00013342149689904358
"location_Ivory Enclave, Zirakpur",0.00013269974863415116
"location_Jandpur, Mohali",0.00013172551432842012
"location_Saidpura 10, Dera Bassi Industrial Area",0.00012961968721170497
"location_Desu Majra Colony, Kharar",0.00012894298125082208
"location_Main Market, Ram Garh",0.0001259520490880429
"location_Furniture Market, Zirakpur",0.00012463045771318932
"location_Govind Vihar, Zirakpur",0.00012285001341436663
"location_Khuda Alisher, Chandigarh",0.00012192366897776785
"location_Sector 2, Panchkula",0.0001212379760256773
"location_Bitna, Pinjore",0.00012102281091469491
"location_Kakrali 13, Dera Bassi",0.00012010343019387873
"location_Housing Board Colony, Ambala",0.00012010205866464595
"location_Basti Lalpura, Ambala",0.00011945023206118036
"location_Sector 20D, Chandigarh",0.0001185384863481757
"location_Mahesh Nagar, Ambala",0.00011824729272271218
"location_Sector 21B, Chandigarh",0.00011236139581019941
"location_Hasainpur 178, Mohali",0.00011081326451465645
"location_Chachu Majra, Mohali",0.00010830164753942129
"location_Anand Nagar, Patiala",0.0001022109709663168
"location_Sector 111, Mohali",9.939917298567503e-05
"location_Sector 16A, Chandigarh",9.847805215026601e-05
"location_Dashmesh Colony, Mandi Govindgarh",9.745344374345252e-05
"location_Sector 38C, Chandigarh",9.699839480738207e-05
"location_Haibatpur Road, Dera Bassi",9.575206005029726e-05
"location_Jhungian, Mohali",9.531452114340457e-05
"location_Kumbra 6 Part, Mohali",9.515760976477312e-05
"location_Gulabgarh, Dera Bassi",9.496547389532422e-05
"location_Bansa Wali Chungi Mohalla, Kharar",9.35385398951753e-05
"location_Mundi Kharar Ward No 3, Kharar",9.22769370062502e-05
"location_Anaj Mandi Purani Chungi, Kharar",9.101414960279568e-05
"location_Sector 109, Mohali",9.016634139290925e-05
"location_Ghatiwala, Pinjore",8.987577925240013e-05
"location_Sector 25, Panchkula",8.692559086759262e-05
"location_Sector 33D, Chandigarh",8.662913394436282e-05
"location_Daun, Mohali",8.579719322747215e-05
"location_Sihanpur 176, Mohali",8.374124948129646e-05
"location_Sector 42C, Chandigarh",8.293188710735566e-05
"location_Sector 9C, Chandigarh",8.239271274401723e-05
"location_MDC Sector 7, Panchkula",8.099963935112963e-05
"location_Bacher, Solan",7.914814709980339e-05
"location_Shree Bazaar, Zirakpur",7.864849402206829e-05
"location_Professor Colony, Patiala",7.806013726960166e-05
"location_Karoran 352, Karoran",7.744694794895783e-05
"location_Dashmesh Colony, Zirakpur",7.699078991485004e-05
"location_Sector 45 Burail Village, Chandigarh",7.637550311572862e-05
"location_Bajigaran Mohalla, Morinda",7.309792460497435e-05
"location_Sector 28, Panchkula",7.201836809009569e-05
"location_Sector 31, Panchkula",7.108603765552875e-05
"location_Ambala Cantt, Ambala",7.108045885665682e-05
"location_Kansal, Karoran",6.997610783570083e-05
"location_Sector 56, Chandigarh",6.994516254360308e-05
"location_Behlana, Chandigarh",6.905913816898903e-05
"location_Maujpur Village, Mohali",6.763065705439924e-05
"location_Sector 122, Mohali",6.688130538128895e-05
"location_Luharan Mohalla, Kharar",6.639184959075633e-05
"location_Sector 52, Chandigarh",6.631970965654799e-05
"location_Adarsh Enclave, Zirakpur",6.57421914733177e-05
"location_Sector 29B, Chandigarh",6.561835608256206e-05
"location_Sector 56, Mohali",6.49757989583909e-05
"location_Mundi Kharar Ward No 4, Kharar",6.417853323531625e-05
"location_Sector 46A, Chandigarh",6.148106173695531e-05
"location_Panchkula Industrial Area, Panchkula",6.094232278757671e-05
"location_Singhpura, Kurali",5.918543172143931e-05
"location_New SBS Colony, Rajpura",5.849075149153435e-05
"location_Himmatgarh, Zirakpur",5.84716626050109e-05
"location_Upkar Nagar, Patiala",5.694430435592574e-05
"location_LIC Colony, Kharar",5.6873272805227724e-05
"location_Power Colony, Patiala",5.6792593623234655e-05
"location_Bhagat Singh Nagar, Dera Bassi",5.592831203053665e-05
"location_Industrial Area Phase 8, Mohali",5.568701203861804e-05
"location_Dattowal, Nalagarh",5.544253037557595e-05
"location_Bank Colony, Patiala",5.508975611027477e-05
"location_Sector 12, Chandigarh",5.44001133129342e-05
"location_Ludhiana - Chandigarh State Highway, Kharar",5.3172695106132306e-05
"location_Prem Nagar, Lalru",5.169778839621208e-05
"location_Sector 39C, Chandigarh",5.167029758796451e-05
"location_Sector 119, Mohali",5.160617677920522e-05
"location_Sector 107, Mohali",5.0120957546817765e-05
"location_Maloha, Chandigarh",4.959667754857759e-05
"location_Deonghat, Solan",4.9451696751929554e-05
"location_Ghuman Nagar, Patiala",4.8904676493625235e-05
"location_Sector 27, Panchkula",4.888424048141864e-05
"location_Sector 7C, Chandigarh",4.749386508369343e-05
"location_Saini Vihar Phase 2, Zirakpur",4.748540656668668e-05
"location_Subhash Nagar, Mandi Govindgarh",4.737562899634516e-05
"location_Ratangarh, Ambala",4.7319272911664925e-05
"location_Aam Khas Bagh, Sirhind Fatehgarh Sahib",4.6639904191896796e-05
"location_Jagtar Nagar, Patiala",4.635917001353911e-05
"location_Sector 9, Ambala",4.447245304609606e-05
"location_Amar Puri Colony, Lalru",4.409144200749702e-05
"location_Vasant Vihar, Zirakpur",4.3057186498523206e-05
"location_Housing Board Colony, Kalka",4.202440275888395e-05
"location_Ward No 3, Banur",3.949960746067834e-05
"location_Behlolpur, Mohali",3.878443053039828e-05
"location_Karpalpur 143, Nalagarh",3.75949076632617e-05
"location_Hawali Bassi, Banur",3.739637737761505e-05
"location_Sector 54, Chandigarh",3.719951976009494e-05
"location_Sector 19, Panchkula",3.6248111292759394e-05
"location_Charan Bagh, Patiala",3.580959060141445e-05
"location_Kalewar, Kurali",3.4293317419037444e-05
"location_Sector 83, Mohali",3.370338426076341e-05
"location_Katwali Mohalla, Morinda",3.36491487899407e-05
"location_Industrial Area Phase 6, Mohali",3.3551551469333704e-05
"location_Ambala Cantonment, Haryana",3.092767393679819e-05
"location_Lower Mall, Patiala",3.052507506226836e-05
"location_Ward 2, Morinda",2.966976519769914e-05
"location_MDC Sector 5C, Panchkula",2.9614978582027475e-05
"location_Basdevpura 151, Pinjore",2.9183361077977486e-05
"location_Radyali, Nalagarh",2.90842232325341e-05
"location_Guru Nanak Nagar, Patiala",2.8561937732377568e-05
"location_Abchal Nagar, Patiala",2.6679193643023657e-05
"location_Chandigarh Road, Ludhiana",2.6655586393195003e-05
"location_Budhanpur, Panchkula",2.6212091210074266e-05
"location_Guru Nanak Nagar, Zirakpur",2.605118838397925e-05
"location_Gian Colony, Patiala",2.506777848672638e-05
"location_Sector 10, Ambala",2.4348062253148936e-05
"location_Rupnagar, Punjab",2.4136198552346257e-05
"location_Hallo Majra, Chandigarh",2.403589828900035e-05
"location_Friends Colony, Patiala",2.403304224310075e-05
"location_Silver City Extension, Zirakpur",2.303647704777437e-05
"location_Sector 23C, Chandigarh",2.2955915439876606e-05
"location_Preet Nagar, Sirhind Fatehgarh Sahib",2.2874484106607244e-05
"location_Rathpur Colony, Pinjore",2.286171118826894e-05
"location_Sector 28B, Chandigarh",2.2006391268761334e-05
"location_Sector 15, Kharar",2.1792315247962938e-05
"location_Thapar University, Patiala",2.1358662971947287e-05
"location_Rabaun, Solan",1.9912388696517777e-05
"location_Chandigarh, Chandigarh",1.9568632168992535e-05
"location_Model Town, Kharar",1.935607467438519e-05
"location_Ram Vihar, Zirakpur",1.9336934287801634e-05
"location_Sector 42A, Chandigarh",1.9020028669666085e-05
"location_Ranjit Nagar, Patiala",1.834803592351007e-05
"location_Bilanwalian, Baddi",1.8305059238467703e-05
"location_Sector 18, Panchkula",1.8263228049284512e-05
"location_Daria, Chandigarh",1.8052460786532932e-05
